Sl No,State,Under Graduate,,,PG Diploma,,,Diploma,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,2,12,13,14,15,16,17,18,19,20
1,Andaman and Nicobar Islands,4055,4672,8727,85,56,141,621,455,1076
2,Andhra Pradesh,846588,759307,1605895,758,431,1189,96913,66591,163504
3,Arunachal Pradesh,22310,20017,42327,97,80,177,1403,1139,2542
4,Assam,297876,304835,602711,984,946,1930,12972,9814,22786
5,Bihar,1141620,911387,2053007,2798,1077,3875,57296,49189,106485
6,Chandigarh,40358,35349,75707,1138,1181,2319,3035,3631,6666
7,Chhattisgarh,215732,259411,475143,14443,14621,29064,36144,27021,63165
8,Delhi,454449,409832,864281,9715,7442,17157,17002,15459,32461
9,Goa,20785,23406,44191,108,139,247,4677,1593,6270
10,Gujarat,712608,545854,1258462,3856,3072,6928,103346,50683,154029
11,Haryana,392179,389514,781693,1596,1331,2927,61163,28798,89961
12,Himachal Pradesh,107717,128469,236186,730,753,1483,8214,8687,16901
13,Jammu and Kashmir,141590,147415,289005,1183,646,1829,12879,12592,25471
14,Jharkhand,314684,312130,626814,2901,1184,4085,28104,14712,42816
15,Karnataka,944677,924391,1869068,4112,3219,7331,138523,115311,253834
16,Kerala,454250,633728,1087978,1498,1621,3119,49106,33686,82792
17,Ladakh,740,1738,2478,,,,245,185,430
18,Lakshadweep,133,401,534,,,,,,
19,Madhya Pradesh,1067537,947070,2014607,21531,19739,41270,103265,56449,159714
20,Maharashtra,1955828,1538148,3493976,14155,10540,24695,236423,157788,394211
21,Manipur,61246,60261,121507,396,269,665,1637,2607,4244
22,Meghalaya,36840,45359,82199,177,129,306,1334,2236,3570
23,Mizoram,15802,14971,30773,61,42,103,710,1480,2190
24,Nagaland,17600,19228,36828,42,71,113,859,1210,2069
25,Odisha,370312,368176,738488,2408,1394,3802,94732,50884,145616
26,Puducherry,26875,32921,59796,15,16,31,2806,1056,3862
27,Punjab,302634,284359,586993,1905,2394,4299,56209,52491,108700
28,Rajasthan,1014468,924253,1938721,7736,4554,12290,82769,36538,119307
29,Sikkim,12295,12533,24828,32,11,43,1088,1179,2267
30,Tamil Nadu,1182067,1280466,2462533,9155,6392,15547,247335,61174,308509
31,Telangana,617563,634298,1251861,4791,3180,7971,56054,43630,99684
32,The Dadra and Nagar Haveli and Daman and Diu,4020,4681,8701,,,,1647,397,2044
33,Tripura,38810,34214,73024,116,133,249,2243,2632,4875
34,Uttar Pradesh,2820340,2727844,5548184,30530,23307,53837,215020,112030,327050
35,Uttarakhand,227696,239419,467115,1231,1122,2353,20926,7946,28872
36,West Bengal,863390,929778,1793168,3440,2372,5812,116868,74479,191347
,All India,16747674,15909835,32657509,143723,113464,257187,1873568,1105752,2979320
