Sl No,State,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,2,21,22,23,24,25,26,27,28,29
1,Andaman and Nicobar Islands,39,33,72,145,224,369,5534,6431,11965
2,Andhra Pradesh,454,696,1150,8429,4528,12957,1056065,931553,1987618
3,Arunachal Pradesh,310,162,472,1196,726,1922,31465,28270,59735
4,Assam,459,866,1325,2459,2783,5242,341985,355108,697093
5,Bihar,3264,2885,6149,2592,1333,3925,1309402,1051539,2360941
6,Chandigarh,245,237,482,883,1087,1970,54809,55656,110465
7,Chhattisgarh,296,435,731,1542,1540,3082,302840,350565,653405
8,Delhi,1415,1143,2558,3735,2228,5963,564849,541422,1106271
9,Goa,17,14,31,422,923,1345,29404,30881,60285
10,Gujarat,17256,5035,22291,9405,7575,16980,938144,714986,1653130
11,Haryana,693,991,1684,9840,7691,17531,517813,511346,1029159
12,Himachal Pradesh,324,236,560,1504,965,2469,133196,156389,289585
13,Jammu and Kashmir,840,769,1609,4509,5401,9910,193476,205378,398854
14,Jharkhand,1160,800,1960,1815,1030,2845,393349,393338,786687
15,Karnataka,3120,2664,5784,7274,6681,13955,1223601,1216836,2440437
16,Kerala,1278,3429,4707,4226,5505,9731,559625,804911,1364536
17,Ladakh,,,,47,91,138,1108,2039,3147
18,Lakshadweep,,,,,,,133,427,560
19,Madhya Pradesh,2298,1272,3570,16402,13083,29485,1374036,1224525,2598561
20,Maharashtra,22503,13879,36382,8314,7527,15841,2491897,2054252,4546149
21,Manipur,200,216,416,,,,68916,69583,138499
22,Meghalaya,172,214,386,73,54,127,43104,54480,97584
23,Mizoram,,20,20,29,23,52,19201,19509,38710
24,Nagaland,98,99,197,6,,6,21750,25204,46954
25,Odisha,1321,2268,3589,5929,6369,12298,525883,481139,1007022
26,Puducherry,1,6,7,354,381,735,43187,48066,91253
27,Punjab,617,696,1313,8499,9348,17847,418244,415091,833335
28,Rajasthan,3930,3916,7846,49148,43923,93071,1278304,1154486,2432790
29,Sikkim,61,11,72,153,222,375,16707,18067,34774
30,Tamil Nadu,6676,14108,20784,12056,11241,23297,1662153,1674286,3336439
31,Telangana,2276,2203,4479,3866,2792,6658,775309,798477,1573786
32,The Dadra and Nagar Haveli and Daman and Diu,,,,22,36,58,5948,5622,11570
33,Tripura,15,13,28,871,723,1594,48428,44232,92660
34,Uttar Pradesh,8672,9459,18131,32566,19340,51906,3397012,3254055,6651067
35,Uttarakhand,450,176,626,3951,2549,6500,304850,315301,620151
36,West Bengal,3381,3119,6500,9939,5418,15357,1086183,1129353,2215536
,All India,83841,72070,155911,212201,173340,385541,21237910,20142803,41380713
