Sl No,State,Ph.D.,Ph.D.,Ph.D.,M.Phil.,M.Phil.,M.Phil.,Post Graduate,Post Graduate,Post Graduate
,,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,Andaman and Nicobar Islands,7,12,19,,,,582,979,1561
2,Andhra Pradesh,4283,2708,6991,70,48,118,98570,97244,195814
3,Arunachal Pradesh,470,258,728,56,74,130,5623,5814,11437
4,Assam,3648,2356,6004,126,180,306,23461,33328,56789
5,Bihar,2625,1183,3808,50,23,73,99157,84462,183619
6,Chandigarh,323,427,750,158,29,187,8669,13715,22384
7,Chhattisgarh,910,744,1654,36,22,58,33737,46771,80508
8,Delhi,8112,7332,15444,772,764,1536,69649,97222,166871
9,Goa,276,340,616,6,2,8,3113,4464,7577
10,Gujarat,4819,3202,8021,135,177,312,86719,99388,186107
11,Haryana,2046,2502,4548,104,142,246,50192,80377,130569
12,Himachal Pradesh,1100,1012,2112,136,134,270,13471,16133,29604
13,Jammu and Kashmir,2412,2033,4445,117,180,297,29946,36342,66288
14,Jharkhand,1738,919,2657,18,63,81,42929,62500,105429
15,Karnataka,5752,5276,11028,60,189,249,120083,159105,279188
16,Kerala,3184,5554,8738,207,745,952,45876,120643,166519
17,Ladakh,6,2,8,,,,70,23,93
18,Lakshadweep,,,,,,,,26,26
19,Madhya Pradesh,3676,2477,6153,91,58,149,159236,184377,343613
20,Maharashtra,9358,6393,15751,385,349,734,244931,319628,564559
21,Manipur,624,569,1193,,12,12,4813,5649,10462
22,Meghalaya,469,364,833,,,,4039,6124,10163
23,Mizoram,551,436,987,56,59,115,1992,2478,4470
24,Nagaland,279,314,593,23,30,53,2843,4252,7095
25,Odisha,1955,1326,3281,352,378,730,48874,50344,99218
26,Puducherry,271,325,596,,2,2,12865,13359,26224
27,Punjab,4628,4938,9566,142,169,311,43610,60696,104306
28,Rajasthan,6588,6379,12967,166,104,270,113499,134819,248318
29,Sikkim,115,80,195,34,30,64,2929,4001,6930
30,Tamil Nadu,17443,16968,34411,1696,5007,6703,185725,278930,464655
31,Telangana,4228,2487,6715,106,74,180,86425,109813,196238
32,The Dadra and Nagar Haveli and Daman and Diu,,,,,,,259,508,767
33,Tripura,452,220,672,2,10,12,5919,6287,12206
34,Uttar Pradesh,11560,8246,19806,234,381,615,278090,353448,631538
35,Uttarakhand,4099,2533,6632,4,1,5,46493,61555,108048
36,West Bengal,8757,5173,13930,1003,963,1966,79405,108051,187456
,All India,116764,95088,211852,6345,10399,16744,2053794,2662855,4716649
