Sl No,State,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,2,21,22,23,24,25,26,27,28,29
1,Andaman and Nicobar Islands,39,33,72,145,224,369,3348,4389,7737
2,Andhra Pradesh,356,442,798,8429,4528,12957,965116,869532,1834648
3,Arunachal Pradesh,310,162,472,1196,726,1922,26861,21942,48803
4,Assam,387,785,1172,2459,2783,5242,315817,331371,647188
5,Bihar,3264,2885,6149,2592,1333,3925,1173773,967682,2141455
6,Chandigarh,222,222,444,883,1087,1970,33934,40313,74247
7,Chhattisgarh,269,424,693,1542,1540,3082,257858,313767,571625
8,Delhi,1415,1143,2558,3735,2228,5963,221431,234080,455511
9,Goa,17,14,31,422,923,1345,25287,28057,53344
10,Gujarat,13273,2943,16216,9405,7575,16980,885128,680749,1565877
11,Haryana,659,984,1643,9775,7662,17437,410677,446655,857332
12,Himachal Pradesh,324,236,560,1504,965,2469,106045,132879,238924
13,Jammu and Kashmir,805,746,1551,4509,5401,9910,139350,152643,291993
14,Jharkhand,1160,800,1960,1815,1030,2845,352445,365580,718025
15,Karnataka,2362,2132,4494,7274,6681,13955,1161297,1158632,2319929
16,Kerala,1226,3429,4655,4226,5505,9731,412322,593415,1005737
17,Ladakh,,,,47,91,138,1108,2039,3147
18,Lakshadweep,,,,,,,133,427,560
19,Madhya Pradesh,2269,1258,3527,16402,13083,29485,1292550,1170726,2463276
20,Maharashtra,4706,4266,8972,8314,7527,15841,2017738,1718515,3736253
21,Manipur,160,186,346,,,,66082,67229,133311
22,Meghalaya,172,214,386,73,54,127,40497,51476,91973
23,Mizoram,,20,20,29,23,52,16184,16101,32285
24,Nagaland,98,99,197,6,,6,20418,23233,43651
25,Odisha,1321,2268,3589,5929,6369,12298,495779,443654,939433
26,Puducherry,1,6,7,354,381,735,35330,41560,76890
27,Punjab,603,691,1294,8499,9348,17847,373387,376244,749631
28,Rajasthan,3930,3916,7846,49141,43916,93057,1129177,1072511,2201688
29,Sikkim,61,11,72,153,222,375,13415,14185,27600
30,Tamil Nadu,2574,4848,7422,11859,11193,23052,1470915,1451086,2922001
31,Telangana,858,1017,1875,3866,2792,6658,696486,732381,1428867
32,"The Dadra and Nagar
Haveli and Daman and Diu",,,,22,36,58,5948,5622,11570
33,Tripura,15,13,28,871,723,1594,42034,38280,80314
34,Uttar Pradesh,7153,8143,15296,32566,19340,51906,3303983,3192570,6496553
35,Uttarakhand,303,75,378,3951,2549,6500,255595,261729,517324
36,West Bengal,2050,2631,4681,9939,5418,15357,991710,1028427,2020137
All India,,52362,47042,99404,211932,173256,385188,18759158,18049681,36808839
